q,batch,margin,cap,mean_cost,wins
0.15,14.0,0.35,25,1018.148888888889,12
0.15,14.0,0.35,40,1038.2947222222224,12
0.15,14.0,0.2,25,1070.4780972222222,12
0.2,14.0,0.35,25,1095.575875,12
0.15,14.0,0.2,40,1099.4675277777778,12
0.2,14.0,0.35,40,1114.0081805555556,12
0.2,14.0,0.2,25,1128.6824722222223,12
0.2,14.0,0.2,40,1167.9533888888889,12
0.3,14.0,0.35,25,1476.7765,12
0.3,14.0,0.2,25,1496.2995833333334,12
0.3,14.0,0.35,40,1496.9647499999999,12
0.3,14.0,0.2,40,1516.6128333333334,12
